id,host_id,neighbourhood_cleansed,room_type,minimum_nights,review_scores_rating
1022828,2265268,PORTA ROMANA,Entire home/apt,1,4.88
758635,3758021,GIAMBELLINO,Private room,1,4.8
1023443,5633941,BUENOS AIRES - VENEZIA,Entire home/apt,2,4.5
763503,1621852,SARPI,Entire home/apt,1,4.57
1024464,5119662,GIAMBELLINO,Entire home/apt,7,
1025621,358409,LORETO,Entire home/apt,60,4.57
768879,3951824,SARPI,Entire home/apt,1,4.72
1028515,4788453,CORSICA,Entire home/apt,3,4.79
768969,4056380,BUENOS AIRES - VENEZIA,Entire home/apt,1,4.94
1028722,5965357,GIAMBELLINO,Entire home/apt,1,4.76
773679,4082476,CENTRALE,Entire home/apt,2,4.43
1029184,5142259,SARPI,Entire home/apt,6,4.58
786441,4146036,CENTRALE,Entire home/apt,1,4.76
1029260,5415073,PARCO FORLANINI - ORTICA,Private room,1,4.66
1029774,2958240,BUENOS AIRES - VENEZIA,Private room,2,4.78
1029777,1697947,WASHINGTON,Private room,1,4.0
794813,1750205,LODI - CORVETTO,Private room,28,3.0
1029915,4505851,TORTONA,Entire home/apt,2,4.8
1031215,5415073,PARCO FORLANINI - ORTICA,Private room,1,4.67
802843,3891159,LODI - CORVETTO,Entire home/apt,28,4.79
1031219,5415073,PARCO FORLANINI - ORTICA,Private room,1,4.79
806673,4246019,ISOLA,Entire home/apt,3,4.88
1033982,1575794,UMBRIA - MOLISE,Entire home/apt,3,4.78
1035314,5698568,TICINESE,Entire home/apt,3,4.85
810216,4236040,TIBALDI,Entire home/apt,3,4.67
1036449,5704246,GARIBALDI REPUBBLICA,Entire home/apt,1,4.43
812419,3052996,DUOMO,Entire home/apt,3,4.9
1036695,5625054,SARPI,Entire home/apt,1,4.57
815097,3728911,DUOMO,Entire home/apt,1,4.91
1039269,3920646,TIBALDI,Entire home/apt,2,4.76
1042549,5739728,RONCHETTO SUL NAVIGLIO,Entire home/apt,5,4.91
815792,1865237,BUENOS AIRES - VENEZIA,Private room,3,4.97
816254,3580799,PAGANO,Entire home/apt,3,4.76
1042759,5741067,BUENOS AIRES - VENEZIA,Entire home/apt,15,4.74
1043512,2158679,BUENOS AIRES - VENEZIA,Entire home/apt,2,4.63
833602,2911163,BUENOS AIRES - VENEZIA,Entire home/apt,1,4.94
1050333,2193665,BUENOS AIRES - VENEZIA,Entire home/apt,5,4.48
836948,4056603,BRERA,Entire home/apt,3,
1052451,3318242,CORSICA,Entire home/apt,2,4.82
846463,4419679,ISOLA,Entire home/apt,2,5.0
1053345,3006424,SARPI,Private room,6,4.59
1053413,3006424,SARPI,Private room,5,4.77
849465,4434902,SARPI,Private room,1,4.88
868679,4571936,DUOMO,Entire home/apt,1,4.62
1071178,5875275,NAVIGLI,Entire home/apt,3,4.65
871888,4597417,GHISOLFA,Entire home/apt,1,4.63
1073988,4862709,TIBALDI,Entire home/apt,2,4.73
1075625,5397258,UMBRIA - MOLISE,Entire home/apt,5,
874880,4618386,DUOMO,Entire home/apt,2,4.88
